Merged Order Book:
Bids:
Price: 60931.1, Quantity: 0.627379
Price: 60920.2, Quantity: 0.608558
Price: 60920.1, Quantity: 0.200001
Price: 60919.6, Quantity: 0.328265
Price: 60919.6, Quantity: 6.99e-05
Price: 60919.5, Quantity: 0.005
Price: 60917, Quantity: 0.031477
Price: 60916.8, Quantity: 0.039403
Price: 60916, Quantity: 0.00257407
Price: 60916, Quantity: 0.191105
Price: 60916, Quantity: 0.0263918
Price: 60915.9, Quantity: 0.0206587
Price: 60915.3, Quantity: 0.0164
Price: 60915.2, Quantity: 0.0820813
Price: 60915.2, Quantity: 0.328256
Price: 60915, Quantity: 0.032819
Price: 60914.7, Quantity: 0.01675
Price: 60914.3, Quantity: 3.987e-05
Price: 60914.2, Quantity: 0.194912
Price: 60914.2, Quantity: 0.324853
Price: 60914.1, Quantity: 0.316096
Price: 60913.9, Quantity: 0.03
Price: 60913.8, Quantity: 0.02041
Price: 60913.4, Quantity: 0.1507
Price: 60913.1, Quantity: 12.365
Price: 60913, Quantity: 0.06
Price: 60912.9, Quantity: 4.105
Price: 60912.9, Quantity: 7.974e-05
Price: 60912.8, Quantity: 9.52e-06
Price: 60912.6, Quantity: 0.0339773
Price: 60912.2, Quantity: 0.164
Price: 60911.7, Quantity: 0.02041
Price: 60911.4, Quantity: 2.462e-05
Price: 60910.7, Quantity: 0.066
Price: 60910.3, Quantity: 0.166993
Price: 60910.2, Quantity: 0.278322
Price: 60910.2, Quantity: 0.119343
Price: 60910.2, Quantity: 0.020338
Price: 60909.9, Quantity: 0.493
Price: 60909.5, Quantity: 0.02041
Price: 60909.4, Quantity: 0.0483568
Price: 60909.3, Quantity: 0.001
Price: 60908.6, Quantity: 4.105
Price: 60907.8, Quantity: 0.532
Price: 60907.4, Quantity: 0.02041
Price: 60907.2, Quantity: 1.89508
Price: 60907.2, Quantity: 0.536976
Price: 60906.4, Quantity: 0.0489406
Price: 60906, Quantity: 4
Price: 60905.6, Quantity: 0.164189
Price: 60905.3, Quantity: 0.02041
Price: 60905.1, Quantity: 0.164304
Price: 60904.9, Quantity: 0.0006
Price: 60904.2, Quantity: 0.3
Price: 60904.1, Quantity: 0.466566
Price: 60904.1, Quantity: 0.12015
Price: 60903.7, Quantity: 0.344743
